day,hour,minute,relativeTime,9_weeks_data_males_pair_h_TIMESTAMP,9_weeks_data_males_pair_h_AVG,9_weeks_data_males_pair_h_SEM,9_weeks_data_males_pair_h_QRT,9_weeks_data_males_pair_h_SAMPLES,9_weeks_data_males_pair_h_DVC_086892,9_weeks_data_males_pair_h_DVC_086891,9_weeks_data_males_pair_h_DVC_086890,9_weeks_data_males_pair_h_DVC_086889,9_weeks_data_males_pair_h_DVC_086888,16_weeks_data_males_pair_h_TIMESTAMP,16_weeks_data_males_pair_h_AVG,16_weeks_data_males_pair_h_SEM,16_weeks_data_males_pair_h_QRT,16_weeks_data_males_pair_h_SAMPLES,16_weeks_data_males_pair_h_DVC_086887,16_weeks_data_males_pair_h_DVC_086886,16_weeks_data_males_pair_h_DVC_086885,16_weeks_data_males_pair_h_DVC_086884,16_weeks_data_males_pair_h_DVC_086883
6,1,55,525300,2025-03-18T01:55:00.000+0100,0.4729520500183195,0.5165662245253593,"[0.0,0.0,0.4625098984741577,0.66600479854389,1.23624555307355,0.0,1.23624555307355]",5943,0.66600479854389,0.4625098984741577,0.0,0.0,1.23624555307355,2025-03-18T01:55:00.000+0100,0.9643817824629283,1.396154910327775,"[0.0,0.0,0.0,1.7699581742134936,3.051950738101148,0.0,3.051950738101148]",5927,0.0,3.051950738101148,0.0,0.0,1.7699581742134936
6,2,0,525600,2025-03-18T02:00:00.000+0100,0.42490751574891555,0.8394544477209532,"[0.0,0.0,0.0350140056022409,0.16806722689075632,1.9214563462515808,0.0,0.16806722689075632]",5943,0.16806722689075632,1.9214563462515808,0.0,0.0,0.0350140056022409,2025-03-18T02:00:00.000+0100,0.1723705806008255,0.2300071706289461,"[0.0,0.0,0.02100840336134454,0.3646540234523067,0.47619047619047616,0.0,0.47619047619047616]",5922,0.0,0.47619047619047616,0.02100840336134454,0.0,0.3646540234523067
6,2,5,525900,2025-03-18T02:05:00.000+0100,0.18635724331926865,0.2844447841662913,"[0.0,0.0,0.08403361344537816,0.16806722689075632,0.6796853762602086,0.0,0.16806722689075632]",5941,0.08403361344537816,0.16806722689075632,0.0,0.0,0.6796853762602086,2025-03-18T02:05:00.000+0100,0.3930704975137152,0.6063846260363144,"[0.0,0.0,0.0070028011204481795,0.5756184330272193,1.3827312534209086,0.0,1.3827312534209086]",5911,0.0070028011204481795,0.0,0.5756184330272193,0.0,1.3827312534209086
6,2,10,526200,2025-03-18T02:10:00.000+0100,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",5944,0.0,0.0,0.0,0.0,0.0,2025-03-18T02:10:00.000+0100,0.44127832951362356,0.6812450224969093,"[0.0,0.0,0.0,0.6582633053221288,1.548128342245989,0.0,1.548128342245989]",5923,0.0,0.0,0.6582633053221288,0.0,1.548128342245989
6,2,15,526500,2025-03-18T02:15:00.000+0100,0.009833469252679975,0.013688877906165468,"[0.0,0.0,0.0,0.02109704641350211,0.028070299849897763,0.0,0.028070299849897763]",5942,0.0,0.028070299849897763,0.0,0.0,0.02109704641350211,2025-03-18T02:15:00.000+0100,0.2303537448734768,0.22513075240861954,"[0.0,0.007032348804500703,0.23892257324870875,0.4346464324126275,0.47116736990154706,0.0,0.47116736990154706]",5941,0.0,0.007032348804500703,0.47116736990154706,0.4346464324126275,0.23892257324870875
6,2,20,526800,2025-03-18T02:20:00.000+0100,0.23109243697478993,0.5089451627620903,"[0.0,0.0,0.0,0.014005602240896359,1.1414565826330534,0.0,0.014005602240896359]",5943,0.0,0.0,0.0,0.014005602240896359,1.1414565826330534,2025-03-18T02:20:00.000+0100,0.8678686664539234,1.3482118000784395,"[0.0,0.0,0.0,1.2691912207921145,3.070152111477502,0.0,3.070152111477502]",5945,0.0,0.0,0.0,3.070152111477502,1.2691912207921145
6,2,25,527100,2025-03-18T02:25:00.000+0100,0.8835939439066764,1.5771149534555953,"[0.0,0.0,0.0,0.7783155456275338,3.639654173905849,0.0,0.7783155456275338]",5943,0.0,0.0,0.0,3.639654173905849,0.7783155456275338,2025-03-18T02:25:00.000+0100,0.7295382287936272,1.0999666255433203,"[0.0,0.0,0.0,1.172688484676571,2.475002659291565,0.0,2.475002659291565]",5941,0.0,0.0,0.0,1.172688484676571,2.475002659291565
6,2,30,527400,2025-03-18T02:30:00.000+0100,1.0742296918767507,1.8434423693306643,"[0.0,0.0,0.0,1.114213617936626,4.256934841447127,0.0,1.114213617936626]",5943,0.0,0.0,0.0,4.256934841447127,1.114213617936626,2025-03-18T02:30:00.000+0100,0.6104374239147136,1.0949259392755413,"[0.0,0.0,0.0,0.525919228450874,2.5262678911226937,0.0,0.525919228450874]",5944,0.525919228450874,0.0,0.0,0.0,2.5262678911226937
6,2,35,527700,2025-03-18T02:35:00.000+0100,1.2843196350270065,2.2833823475425645,"[0.0,0.0070028011204481795,0.028011204481792718,1.106708506187285,5.279875663345506,0.0,1.106708506187285]",5942,0.028011204481792718,0.0070028011204481795,0.0,5.279875663345506,1.106708506187285,2025-03-18T02:35:00.000+0100,0.2929593778439646,0.5031627697463882,"[0.0,0.0,0.02812939521800281,0.2661064425770308,1.1705610514247893,0.0,0.2661064425770308]",5941,1.1705610514247893,0.02812939521800281,0.0,0.0,0.2661064425770308
6,2,40,528000,2025-03-18T02:40:00.000+0100,0.39010034393504234,0.8722908870848025,"[0.0,0.0,0.0,0.0,1.9505017196752117,0.0,1.9505017196752117]",5942,0.0,0.0,0.0,1.9505017196752117,0.0,2025-03-18T02:40:00.000+0100,0.3111725702939404,0.6687371756339398,"[0.0,0.0,0.0,0.04901960784313726,1.5068432436265646,0.0,0.04901960784313726]",5944,1.5068432436265646,0.0,0.0,0.0,0.04901960784313726
